,layer,src,dst,interval,flit,counts,datatype,delay,map_src,map_dst,captain,tree,epfl,intermediate,path,count,id,issue_time
549,mnasnet_layer4,[133],[128],224,15,56,output,224.0,[133],[128],,[],,[],[],1,549,224.0
550,mnasnet_layer4,[148],[128],224,15,56,output,224.0,[148],[128],,[],,[],[],1,550,224.0
551,mnasnet_layer4,[149],[128],224,15,56,output,224.0,[149],[128],,[],,[],[],1,551,224.0
552,mnasnet_layer4,[164],[128],224,15,56,output,224.0,[164],[128],,[],,[],[],1,552,224.0
553,mnasnet_layer4,[165],[128],224,15,56,output,224.0,[165],[128],,[],,[],[],1,553,224.0
554,mnasnet_layer4,[128],[132],12544,4,1,weight,,[128],[132],,[],,[],[],1,554,12560.0
555,mnasnet_layer4,[128],[133],12544,4,1,weight,,[128],[133],,[],,[],[],1,555,12586.0
556,mnasnet_layer4,[128],[148],12544,4,1,weight,,[128],[148],,[],,[],[],1,556,12544.0
557,mnasnet_layer4,[128],[149],12544,4,1,weight,,[128],[149],,[],,[],[],1,557,12552.0
558,mnasnet_layer4,[128],[164],12544,4,1,weight,,[128],[164],,[],,[220],[],1,558,12568.0
559,mnasnet_layer4,[128],[165],12544,4,1,weight,,[128],[165],,[],,[245],[],1,559,12577.0
561,inception_layer1,[162],[179],999,7,74,output,999.0,[162],[179],,[],,[],[],1,561,999.0
562,inception_layer1,[163],[179],999,7,74,output,999.0,[163],[179],,[],,[251],[],1,562,999.0
563,inception_layer1,[178],[179],999,7,74,output,999.0,[178],[179],,[],,[],[],1,563,999.0
564,inception_layer1,[128],[162],1998,8,37,input,,[128],[162],,[],,[],[],1,564,2018.0
565,inception_layer1,[128],[163],1998,8,37,input,,[128],[163],,[],,[],[],1,565,2008.0
566,inception_layer1,[128],[178],1998,8,37,input,,[128],[178],,[],,[],[],1,566,1998.0
567,inception_layer1,[162],[128],999,7,74,output,,[162],[128],,[],,[],[],1,567,1017.0
568,inception_layer1,[163],[128],999,7,74,output,,[163],[128],,[],,[],[],1,568,999.0
569,inception_layer1,[178],[128],999,7,74,output,,[178],[128],,[],,[101],[],1,569,999.0
570,inception_layer2,[130],[147],1308,14,109,output,1308.0,[130],[147],,[],,[],[],1,570,1323.0
571,inception_layer2,[131],[147],1308,14,109,output,1308.0,[131],[147],,[],,[],[],1,571,1308.0
572,inception_layer2,[146],[147],1308,14,109,output,1308.0,[146],[147],,[],,[],[],1,572,1308.0
576,inception_layer2,[179],[130],1308,42,109,input,,[179],[130],,[],,[],[],1,576,1308.0
577,inception_layer2,[179],[131],1308,42,109,input,,[179],[131],,[],,[],[],1,577,1308.0
578,inception_layer2,[179],[146],1308,42,109,input,,[179],[146],,[],,[],[],1,578,1308.0
579,inception_layer3,[128],[145],2616,28,109,output,2616.0,[128],[145],,[],,[],[],1,579,2645.0
580,inception_layer3,[129],[145],2616,28,109,output,2616.0,[129],[145],,[],,[],[],1,580,2616.0
581,inception_layer3,[144],[145],2616,28,109,output,2616.0,[144],[145],,[],,[195],[],1,581,2616.0
585,inception_layer3,[147],[128],2616,15,109,input,,[147],[128],,[],,[],[],1,585,2616.0
590,inception_layer4,[160],[177],180,6,81,output,180.0,[160],[177],,[],,[],[],1,590,187.0
591,inception_layer4,[161],[177],180,6,81,output,180.0,[161],[177],,[],,[],[],1,591,180.0
592,inception_layer4,[176],[177],180,6,81,output,180.0,[176],[177],,[],,[],[],1,592,180.0
594,inception_layer4,[145],[160],90,3,162,input,,[145],[160],,[],,[],[],1,594,95.0
595,inception_layer4,[145],[161],90,3,162,input,,[145],[161],,[],,[],[],1,595,90.0
596,inception_layer4,[145],[176],90,3,162,input,,[145],[176],,[],,[],[],1,596,90.0
604,inception_layer5,[177],[192],24336,15,60,input,,[177],[192],,[],,[183],[],1,604,24336.0
605,inception_layer5,[177],[193],24336,15,60,input,,[177],[193],,[],,[],[],1,605,24336.0
606,inception_layer5,[177],[208],24336,15,60,input,,[177],[208],,[],,[],[],1,606,24391.0
610,inception_layer6,[194],[211],300,4,25,output,300.0,[194],[211],,[],,[],[],1,610,300.0
611,inception_layer6,[195],[211],300,4,25,output,300.0,[195],[211],,[],,[],[],1,611,306.0
612,inception_layer6,[210],[211],300,4,25,output,300.0,[210],[211],,[],,[],[],1,612,300.0
614,inception_layer6,[128],[194],7500,15,1,weight,,[128],[194],,[],,[],[],1,614,7500.0
615,inception_layer6,[128],[195],7500,15,1,weight,,[128],[195],,[],,[10],[],1,615,7517.0
616,inception_layer6,[128],[210],7500,15,1,weight,,[128],[210],,[],,[],[],1,616,7534.0
618,inception_layer7,[226],[243],125,8,45,output,125.0,[226],[243],,[],,[],[],1,618,134.0
619,inception_layer7,[227],[243],125,8,45,output,125.0,[227],[243],,[],,[],[],1,619,125.0
620,inception_layer7,[242],[243],125,8,45,output,125.0,[242],[243],,[],,[],[],1,620,125.0
622,inception_layer7,[247],[226],125,4,45,weight,,[247],[226],,[],,[],[],1,622,125.0
623,inception_layer7,[247],[227],125,4,45,weight,,[247],[227],,[],,[8],[],1,623,125.0
624,inception_layer7,[247],[242],125,4,45,weight,,[247],[242],,[],,[],[],1,624,125.0
626,inception_layer7,[211],[226],125,9,45,input,,[211],[226],,[],,[145],[],1,626,125.0
627,inception_layer7,[211],[227],125,9,45,input,,[211],[227],,[],,[],[],1,627,125.0
628,inception_layer7,[211],[242],125,9,45,input,,[211],[242],,[],,[],[],1,628,125.0
630,inception_layer8,[224],[128],1000,2,250,output,1000.0,[224],[128],,[],,[],[],1,630,1009.0
631,inception_layer8,[225],[128],1000,2,250,output,1000.0,[225],[128],,[],,[],[],1,631,1000.0
632,inception_layer8,[240],[128],1000,2,250,output,1000.0,[240],[128],,[],,[],[],1,632,1028.0
636,inception_layer8,[243],[224],1000,4,250,input,,[243],[224],,[],,[],[],1,636,1000.0
637,inception_layer8,[243],[225],1000,4,250,input,,[243],[225],,[],,[158],[],1,637,1021.0
638,inception_layer8,[243],[240],1000,4,250,input,,[243],[240],,[],,[78],[],1,638,1000.0
