,layer,src,dst,interval,flit,counts,datatype,delay,map_src,map_dst,captain,tree,epfl,intermediate,path,count,id,issue_time
480,mnasnet_layer1,[247],"[228, 231]",37632,4,1,weight,,[247],"[228, 231]",228,"[[228, 5], [228, 1], [229, 5], [229, 1], [230, 5], [230, 1], [231, 1]]",3,[],[],1,480,37645.0
481,mnasnet_layer1,[247],"[229, 244]",37632,4,1,weight,,[247],"[229, 244]",229,"[[229, 3], [229, 4], [229, 1], [245, 4], [245, 1], [228, 1], [244, 1]]",2,[],[],1,481,37632.0
482,mnasnet_layer1,[247],"[230, 245]",37632,4,1,weight,,[247],"[230, 245]",230,"[[230, 3], [230, 4], [230, 1], [246, 4], [246, 1], [229, 1], [245, 1]]",2,[90],[],1,482,37671.0
495,mnasnet_layer2,[247],"[196, 198, 212, 214]",28224,4,1,weight,,[247],"[196, 198, 212, 214]",196,"[[196, 3], [196, 5], [196, 1], [212, 5], [212, 1], [197, 5], [197, 1], [213, 5], [213, 1], [198, 1], [214, 1]]",3,[],[],1,495,28224.0
546,mnasnet_layer4,[183],"[132, 148, 164]",224,9,56,input,,[183],"[132, 148, 164]",132,"[[132, 3], [132, 1], [148, 3], [148, 1], [164, 1]]",2,[],[],1,546,235.0
547,mnasnet_layer4,[183],"[133, 149, 165]",224,9,56,input,,[183],"[133, 149, 165]",133,"[[133, 3], [133, 1], [149, 3], [149, 1], [165, 1]]",2,[],[],1,547,224.0
560,inception_layer1,[128],"[162, 163, 178]",999,4,74,weight,,[128],"[162, 163, 178]",162,"[[162, 3], [162, 5], [162, 1], [178, 5], [178, 1], [163, 1], [179, 1]]",2,[],[],1,560,1007.0
588,inception_layer4,[128],"[160, 176]",90,8,162,weight,,[128],"[160, 176]",160,"[[160, 3], [160, 1], [176, 1]]",1,[177],[],1,588,96.0
598,inception_layer5,[128],"[192, 208]",24336,21,60,weight,,[128],"[192, 208]",192,"[[192, 3], [192, 1], [208, 1]]",1,[],[],1,598,24365.0
608,inception_layer6,[209],"[194, 210]",300,11,25,input,,[209],"[194, 210]",194,"[[194, 3], [194, 1], [210, 1]]",1,[],[],1,608,300.0
